Lead_ID,Name,Lead_Date,Ad_Campaign_Name,Ad_Set_Name,Ad_Spend,Impressions,Clicks,CTR (%),CPC,Form_Submit_Time,Lead_Source,Age,Gender,Location,Treatment_Interest,Preferred_Slot,Response_Time (mins),No_of_Followups,Engagement_Score,Consent_Status,Appointment_Booked,Appointment_Date,Created_Week
LEAD_1000,Rachel Walsh,2025-01-14,SkinGlow_AdSet,Target_Women_25_45,758.79,1360,24,1.76,31.62,2025-01-14 01:27:00,Facebook,53,Other,Mumbai,Dental,Morning,193,5,78,True,1,2025-01-17 00:00:00,3
LEAD_1001,Jasmine Butler,2025-01-15,SmileCare_Promo,Target_Women_25_45,150.77,630,159,25.24,0.95,2025-01-15 19:44:00,Facebook,29,Other,Bangalore,Skin,Evening,92,4,69,True,1,2025-01-20 00:00:00,3
LEAD_1002,Stanley Thompson,2025-01-09,Wellness_Boost,Target_Women_25_45,362.11,4617,98,2.12,3.7,2025-01-09 03:09:00,Facebook,64,Male,Ranchi,Dental,Morning,63,2,67,False,0,0,2
LEAD_1003,Samuel Taylor,2025-01-13,DentalCare_2025,Retarget_OldLeads,984.91,2399,64,2.67,15.39,2025-01-13 21:37:00,Facebook,21,Male,Bangalore,Dental,Evening,135,5,90,True,0,0,3
LEAD_1004,Alexandra Jones,2025-01-08,DentalCare_2025,GeneralAudience,827.56,2863,23,0.8,35.98,2025-01-08 08:28:00,Facebook,25,Male,Kolkata,Hair,Morning,13,2,92,True,1,2025-01-12 00:00:00,2
LEAD_1005,Lawrence Smith,2025-01-14,SmileCare_Promo,GeneralAudience,332.9,534,90,16.85,3.7,2025-01-14 11:42:00,Facebook,35,Female,Mumbai,Dental,Morning,108,4,41,True,1,2025-01-18 00:00:00,3
LEAD_1006,Karen Brady,2025-01-09,HairRevive_Offer,Target_Women_25_45,933.99,661,199,30.11,4.69,2025-01-09 11:59:00,Facebook,62,Male,Kolkata,Skin,Afternoon,99,4,96,False,0,0,2
LEAD_1007,Michael Sharp,2025-01-09,HairRevive_Offer,Retarget_OldLeads,628.08,1378,62,4.5,10.13,2025-01-09 01:04:00,Facebook,42,Female,Ranchi,Wellness,Evening,221,4,99,True,1,2025-01-14 00:00:00,2
LEAD_1008,David Atkinson,2025-01-14,SkinGlow_AdSet,GeneralAudience,455.39,3068,97,3.16,4.69,2025-01-14 04:48:00,Facebook,22,Male,Bangalore,Hair,Evening,140,3,90,True,0,0,3
LEAD_1009,Tracy Long,2025-01-09,DentalCare_2025,Youngsters_Fitness,923.46,2778,50,1.8,18.47,2025-01-09 13:24:00,Facebook,52,Other,Delhi,Skin,Morning,205,4,73,True,1,2025-01-15 00:00:00,2
LEAD_1010,Roger Miller,2025-01-11,SmileCare_Promo,Youngsters_Fitness,524.99,3273,44,1.34,11.93,2025-01-11 14:30:00,Facebook,44,Male,Delhi,Skin,Afternoon,105,3,40,True,1,2025-01-17 00:00:00,2
LEAD_1011,Keith Lewis,2025-01-08,HairRevive_Offer,GeneralAudience,199.8,706,24,3.4,8.33,2025-01-08 09:23:00,Facebook,49,Other,Mumbai,Dental,Afternoon,128,5,90,True,0,0,2
LEAD_1012,Amanda Garza,2025-01-11,HairRevive_Offer,Men_30plus,643.98,2257,160,7.09,4.02,2025-01-11 21:06:00,Facebook,39,Other,Mumbai,Skin,Evening,147,3,68,True,1,2025-01-14 00:00:00,2
LEAD_1013,Isabel Woods,2025-01-11,SmileCare_Promo,Retarget_OldLeads,827.31,3125,179,5.73,4.62,2025-01-11 22:34:00,Facebook,45,Other,Delhi,Dental,Afternoon,189,5,45,True,1,2025-01-15 00:00:00,2
LEAD_1014,Lisa Barker,2025-01-08,Wellness_Boost,Youngsters_Fitness,199.05,3802,199,5.23,1.0,2025-01-08 23:02:00,Facebook,23,Other,Bangalore,Dental,Evening,125,3,96,True,0,0,2
LEAD_1015,Adam Serrano,2025-01-15,HairRevive_Offer,Target_Women_25_45,723.19,4913,174,3.54,4.16,2025-01-15 18:56:00,Facebook,29,Male,Ranchi,Hair,Afternoon,238,4,63,True,1,2025-01-16 00:00:00,3
LEAD_1016,Ryan Benitez,2025-01-13,HairRevive_Offer,Target_Women_25_45,370.79,3957,140,3.54,2.65,2025-01-13 14:14:00,Facebook,54,Male,Bangalore,Hair,Morning,117,1,98,True,0,0,3
LEAD_1017,Matthew Ryan,2025-01-15,Wellness_Boost,GeneralAudience,230.41,3974,135,3.4,1.71,2025-01-15 03:22:00,Facebook,34,Other,Kolkata,Dental,Afternoon,176,2,71,True,0,0,3
LEAD_1018,Eric Robertson,2025-01-14,SmileCare_Promo,Men_30plus,523.27,4889,33,0.67,15.86,2025-01-14 22:29:00,Facebook,33,Other,Bangalore,Hair,Evening,102,3,87,True,1,2025-01-17 00:00:00,3
LEAD_1019,Jason Cook,2025-01-12,DentalCare_2025,GeneralAudience,393.36,2294,157,6.84,2.51,2025-01-12 08:08:00,Facebook,50,Other,Kolkata,Hair,Morning,168,3,65,True,1,2025-01-16 00:00:00,2
LEAD_1020,Erika Brewer,2025-01-15,SmileCare_Promo,Retarget_OldLeads,223.77,2885,113,3.92,1.98,2025-01-15 22:01:00,Facebook,52,Female,Ranchi,Skin,Morning,224,1,64,True,0,0,3
LEAD_1021,Alexandria Solomon,2025-01-14,SmileCare_Promo,Men_30plus,334.75,1123,69,6.14,4.85,2025-01-14 00:08:00,Facebook,58,Other,Kolkata,Skin,Afternoon,133,4,44,True,0,0,3
LEAD_1022,Kelly Greene,2025-01-10,Wellness_Boost,Retarget_OldLeads,862.0,2182,57,2.61,15.12,2025-01-10 01:43:00,Facebook,37,Female,Bangalore,Hair,Evening,152,1,63,True,0,0,2
LEAD_1023,Scott Travis,2025-01-13,SkinGlow_AdSet,Target_Women_25_45,976.3,3683,108,2.93,9.04,2025-01-13 02:40:00,Facebook,21,Other,Bangalore,Hair,Evening,150,2,41,True,0,0,3
LEAD_1024,Joshua Knight,2025-01-08,HairRevive_Offer,Target_Women_25_45,260.94,4993,30,0.6,8.7,2025-01-08 15:54:00,Facebook,39,Female,Kolkata,Dental,Afternoon,132,3,56,True,0,0,2
LEAD_1025,David Jenkins,2025-01-14,SkinGlow_AdSet,Youngsters_Fitness,975.71,1545,167,10.81,5.84,2025-01-14 21:40:00,Facebook,47,Other,Delhi,Skin,Evening,113,3,93,True,0,0,3
LEAD_1026,Kristopher Payne,2025-01-08,HairRevive_Offer,Retarget_OldLeads,549.27,1459,70,4.8,7.85,2025-01-08 02:37:00,Facebook,46,Other,Delhi,Dental,Afternoon,8,3,88,True,0,0,2
LEAD_1027,Laura Martinez,2025-01-13,SmileCare_Promo,Retarget_OldLeads,433.14,3944,15,0.38,28.88,2025-01-13 10:06:00,Facebook,52,Other,Ranchi,Hair,Afternoon,237,5,63,True,0,0,3
LEAD_1028,Daniel Weeks,2025-01-11,SkinGlow_AdSet,Target_Women_25_45,866.02,1639,169,10.31,5.12,2025-01-11 22:26:00,Facebook,57,Female,Mumbai,Dental,Morning,71,2,64,True,0,0,2
LEAD_1029,Christina Carter,2025-01-13,SmileCare_Promo,Retarget_OldLeads,653.51,4363,123,2.82,5.31,2025-01-13 23:36:00,Facebook,60,Male,Ranchi,Wellness,Morning,90,2,66,True,1,2025-01-14 00:00:00,3
LEAD_1030,Melissa Holmes,2025-01-13,DentalCare_2025,Men_30plus,829.1,3306,35,1.06,23.69,2025-01-13 11:24:00,Facebook,37,Male,Kolkata,Dental,Afternoon,157,5,99,True,0,0,3
LEAD_1031,Diamond Hogan,2025-01-08,DentalCare_2025,Retarget_OldLeads,145.69,4347,153,3.52,0.95,2025-01-08 14:13:00,Facebook,42,Female,Delhi,Dental,Evening,119,4,73,True,0,0,2
LEAD_1032,Shelby Wu,2025-01-09,HairRevive_Offer,GeneralAudience,357.89,1074,199,18.53,1.8,2025-01-09 16:42:00,Facebook,54,Other,Mumbai,Wellness,Evening,62,2,61,True,1,2025-01-15 00:00:00,2
LEAD_1033,Peter Shepherd,2025-01-08,Wellness_Boost,Target_Women_25_45,294.24,3624,69,1.9,4.26,2025-01-08 00:46:00,Facebook,52,Male,Delhi,Skin,Afternoon,9,4,45,True,0,0,2
LEAD_1034,Daniel Campos,2025-01-14,SkinGlow_AdSet,Retarget_OldLeads,564.67,4864,123,2.53,4.59,2025-01-14 18:01:00,Facebook,43,Other,Delhi,Dental,Morning,162,3,56,True,0,0,3
LEAD_1035,Sophia Navarro,2025-01-12,SkinGlow_AdSet,Target_Women_25_45,852.38,616,71,11.53,12.01,2025-01-12 13:21:00,Facebook,49,Male,Ranchi,Skin,Afternoon,141,4,92,True,0,0,2
LEAD_1036,Aaron Camacho,2025-01-13,SkinGlow_AdSet,Retarget_OldLeads,694.18,1059,98,9.25,7.08,2025-01-13 09:40:00,Facebook,39,Male,Mumbai,Wellness,Morning,121,1,55,True,0,0,3
LEAD_1037,Christine Deleon,2025-01-12,DentalCare_2025,Men_30plus,609.43,2794,85,3.04,7.17,2025-01-12 17:50:00,Facebook,47,Other,Bangalore,Wellness,Morning,183,5,61,True,1,2025-01-17 00:00:00,2
LEAD_1038,Mariah Thompson,2025-01-13,Wellness_Boost,GeneralAudience,188.05,3559,153,4.3,1.23,2025-01-13 05:56:00,Facebook,40,Male,Ranchi,Skin,Evening,180,5,78,True,0,0,3
LEAD_1039,Donald Phillips,2025-01-09,Wellness_Boost,Youngsters_Fitness,437.15,3349,189,5.64,2.31,2025-01-09 08:35:00,Facebook,33,Female,Kolkata,Wellness,Evening,151,2,71,True,0,0,2
LEAD_1040,William Mason,2025-01-15,SkinGlow_AdSet,Target_Women_25_45,123.86,835,11,1.32,11.26,2025-01-15 06:19:00,Facebook,50,Male,Kolkata,Hair,Morning,132,3,59,True,0,0,3
