Lead_ID,Name,Lead_Date,Ad_Campaign_Name,Ad_Set_Name,Ad_Spend,Impressions,Clicks,CTR (%),CPC,Form_Submit_Time,Lead_Source,Age,Gender,Location,Treatment_Interest,Preferred_Slot,Response_Time (mins),No_of_Followups,Engagement_Score,Consent_Status,Appointment_Booked,Appointment_Date,Created_Week
LEAD_1000,Kelly Cherry,2025-01-21,SkinGlow_AdSet,Target_Women_25_45,758.79,1360,24,1.76,31.62,2025-01-21 01:27:00,Facebook,53,Other,Mumbai,Dental,Morning,193,5,78,True,1,2025-01-24 00:00:00,4
LEAD_1001,Gregory Woodward,2025-01-22,SmileCare_Promo,Target_Women_25_45,150.77,630,159,25.24,0.95,2025-01-22 19:44:00,Facebook,29,Other,Bangalore,Skin,Evening,92,4,69,True,1,2025-01-27 00:00:00,4
LEAD_1002,Mr. Javier Meza,2025-01-20,Wellness_Boost,Target_Women_25_45,572.3,3404,58,1.7,9.87,2025-01-20 11:26:00,Facebook,61,Male,Ranchi,Dental,Morning,174,4,99,True,0,0,4
LEAD_1003,Lisa Noble,2025-01-21,DentalCare_2025,Retarget_OldLeads,520.09,1767,73,4.13,7.12,2025-01-21 10:00:00,Facebook,31,Male,Bangalore,Dental,Evening,233,3,46,True,1,2025-01-25 00:00:00,4
LEAD_1004,Melissa Hansen,2025-01-16,DentalCare_2025,GeneralAudience,114.37,2541,18,0.71,6.35,2025-01-16 12:55:00,Facebook,64,Male,Kolkata,Hair,Morning,134,4,67,True,1,2025-01-21 00:00:00,3
LEAD_1005,Brandon Wilson,2025-01-17,SmileCare_Promo,GeneralAudience,264.01,3652,173,4.74,1.53,2025-01-17 11:42:00,Facebook,35,Female,Mumbai,Dental,Morning,136,2,45,True,0,0,3
LEAD_1006,Eric Owens,2025-01-16,HairRevive_Offer,Target_Women_25_45,933.99,4797,199,4.15,4.69,2025-01-16 11:59:00,Facebook,62,Male,Kolkata,Skin,Afternoon,99,4,96,False,0,0,3
LEAD_1007,Jared Richardson,2025-01-16,HairRevive_Offer,Retarget_OldLeads,628.08,1378,62,4.5,10.13,2025-01-16 01:04:00,Facebook,42,Female,Ranchi,Wellness,Evening,221,4,99,True,1,2025-01-21 00:00:00,3
LEAD_1008,Robert Smith,2025-01-21,SkinGlow_AdSet,GeneralAudience,455.39,3068,97,3.16,4.69,2025-01-21 04:48:00,Facebook,22,Male,Bangalore,Hair,Evening,140,3,90,True,0,0,4
LEAD_1009,Robert Simon,2025-01-21,DentalCare_2025,Youngsters_Fitness,865.03,3599,144,4.0,6.01,2025-01-21 01:38:00,Facebook,61,Other,Delhi,Skin,Morning,16,2,72,True,1,2025-01-26 00:00:00,4
